"cpro","nuts3.code","nuts3.name","nuts3.shortname.es"
"15","ES111","A Coruña","La Coruña"
"27","ES112","Lugo","Lugo"
"32","ES113","Ourense","Orense"
"36","ES114","Pontevedra","Pontevedra"
"33","ES120","Asturias","Asturias"
"39","ES130","Cantabria","Cantabria"
"01","ES211","Araba/Álava","Álava"
"20","ES212","Gipuzkoa","Guipúzcoa"
"48","ES213","Bizkaia","Vizcaya"
"31","ES220","Navarra","Navarra"
"26","ES230","La Rioja","La Rioja"
"22","ES241","Huesca","Huesca"
"44","ES242","Teruel","Teruel"
"50","ES243","Zaragoza","Zaragoza"
"28","ES300","Madrid","Madrid"
"05","ES411","Ávila","Ávila"
"09","ES412","Burgos","Burgos"
"24","ES413","León","León"
"34","ES414","Palencia","Palencia"
"37","ES415","Salamanca","Salamanca"
"40","ES416","Segovia","Segovia"
"42","ES417","Soria","Soria"
"47","ES418","Valladolid","Valladolid"
"49","ES419","Zamora","Zamora"
"02","ES421","Albacete","Albacete"
"13","ES422","Ciudad Real","Ciudad Real"
"16","ES423","Cuenca","Cuenca"
"19","ES424","Guadalajara","Guadalajara"
"45","ES425","Toledo","Toledo"
"06","ES431","Badajoz","Badajoz"
"10","ES432","Cáceres","Cáceres"
"08","ES511","Barcelona","Barcelona"
"17","ES512","Girona","Gerona"
"25","ES513","Lleida","Lérida"
"43","ES514","Tarragona","Tarragona"
"03","ES521","Alicante / Alacant","Alicante"
"12","ES522","Castellón / Castelló","Castellón"
"46","ES523","Valencia / València","Valencia"
"07","ES531","Eivissa y Formentera","Ibiza y Formentera"
"07","ES532","Mallorca","Mallorca"
"07","ES533","Menorca","Menorca"
"04","ES611","Almería","Almería"
"11","ES612","Cádiz","Cádiz"
"14","ES613","Córdoba","Córdoba"
"18","ES614","Granada","Granada"
"21","ES615","Huelva","Huelva"
"23","ES616","Jaén","Jaén"
"29","ES617","Málaga","Málaga"
"41","ES618","Sevilla","Sevilla"
"30","ES620","Murcia","Murcia"
"51","ES630","Ceuta","Ceuta"
"52","ES640","Melilla","Melilla"
"38","ES703","El Hierro","El Hierro"
"35","ES704","Fuerteventura","Fuerteventura"
"35","ES705","Gran Canaria","Gran Canaria"
"38","ES706","La Gomera","La Gomera"
"38","ES707","La Palma","La Palma"
"35","ES708","Lanzarote","Lanzarote"
"38","ES709","Tenerife","Tenerife"
